"DisplayID","Name"
1,"Horizontal (0°) Standard Res. Color Raster"
2,"Vertical (90°) Standard Res. Color Raster"
3,"Horizontal (0°) Black and White Raster"
4,"Vertical (90°) Black and White Raster"
5,"Horizontal (0°) Medium Res. Color Raster"
6,"Vertical (90°) Medium Res. Color Raster"
7,"Horizontal (0°) Color Vector"
8,"Vertical (90°) Color Vector"
9,"Horizontal (0°) Black and White Vector"
10,"Vertical (90°) Black and White Vector"
11,"Horizontal (0°) Extended Res. Color Raster"
