"DisplayID","DisplayPropertyID"
1,1
2,1
3,1
4,1
5,1
6,1
11,1
7,2
8,2
9,2
10,2
1,11
2,11
3,11
4,11
5,12
6,12
1,13
2,13
5,13
6,13
7,13
8,13
11,13
3,14
4,14
9,14
10,14
1,15
3,15
5,15
7,15
9,15
11,15
2,16
4,16
6,16
8,16
10,16
7,17
8,17
9,17
10,17
11,20
