"DisplayPropertyID","DisplayPropertyNameID","DisplayPropertyValueID"
1,1,1
2,1,2
10,1,3
11,2,4
12,2,5
13,3,6
14,3,7
15,4,8
16,4,9
17,2,1
19,4,11
20,2,12
