"DisplayPropertyValueID","Name"
1,"Raster CRT"
2,"Vector CRT"
3,"LCD"
4,"Standard Resolution (CGA, 640x200)"
5,"Medium Resolution (EGA, 640x350)"
6,"Color"
7,"Monochrome"
8,"Horizontal (0°)"
9,"Vertical (90°)"
11,"Vertical (270°)"
12,"Extended Resolution (VGA, 640x480)"
